date,total_precip_in
2021-01-01,0.43
2021-01-02,0.72
2021-01-03,0.00
2021-01-04,0.17
2021-01-05,0.00
2021-01-06,0.00
2021-01-07,0.00
2021-01-08,0.00
2021-01-09,0.00
2021-01-10,0.00
2021-01-11,0.00
2021-01-12,0.00
2021-01-13,0.00
2021-01-14,0.00
2021-01-15,0.00
2021-01-16,1.15
2021-01-17,0.00
2021-01-18,0.00
2021-01-19,0.00
2021-01-20,0.00
2021-01-21,0.02
2021-01-22,0.00
2021-01-23,0.00
2021-01-24,0.00
2021-01-25,0.00
2021-01-26,0.00
2021-01-27,0.07
2021-01-28,0.00
2021-01-29,0.00
2021-01-30,0.00
2021-01-31,0.00
2021-02-01,0.19
2021-02-02,0.75
2021-02-03,0.02
2021-02-04,0.00
2021-02-05,0.00
2021-02-06,0.06
2021-02-07,0.00
2021-02-08,0.39
2021-02-09,0.00
2021-02-10,0.01
2021-02-11,0.10
2021-02-12,0.00
2021-02-13,0.00
2021-02-14,0.00
2021-02-15,0.00
2021-02-16,0.83
2021-02-17,0.03
2021-02-18,0.00
2021-02-19,0.34
2021-02-20,0.08
2021-02-21,0.00
2021-02-22,0.00
2021-02-23,0.56
2021-02-24,0.01
2021-02-25,0.00
2021-02-26,0.00
2021-02-27,0.06
2021-02-28,0.41
2021-03-01,0.42
2021-03-02,0.02
2021-03-03,0.00
2021-03-04,0.00
2021-03-05,0.00
2021-03-06,0.00
2021-03-07,0.00
2021-03-08,0.00
2021-03-09,0.00
2021-03-10,0.00
2021-03-11,0.00
2021-03-12,0.00
2021-03-13,0.00
2021-03-14,0.00
2021-03-15,0.00
2021-03-16,0.00
2021-03-17,0.00
2021-03-18,0.00
2021-03-19,0.65
2021-03-20,0.00
2021-03-21,0.00
2021-03-22,0.00
2021-03-23,0.00
2021-03-24,0.00
2021-03-25,1.32
2021-03-26,0.03
2021-03-27,0.00
2021-03-28,0.00
2021-03-29,0.60
2021-03-30,0.00
2021-03-31,0.00
2021-04-01,0.38
2021-04-02,0.01
2021-04-03,0.00
2021-04-04,0.00
2021-04-05,0.00
2021-04-06,0.00
2021-04-07,0.00
2021-04-08,0.00
2021-04-09,0.00
2021-04-10,0.00
2021-04-11,0.00
2021-04-12,0.40
2021-04-13,0.55
2021-04-14,0.00
2021-04-15,0.00
2021-04-16,0.93
2021-04-17,0.03
2021-04-18,0.00
2021-04-19,0.00
2021-04-20,0.00
2021-04-21,0.00
2021-04-22,0.27
2021-04-23,0.00
2021-04-24,0.00
2021-04-25,0.41
2021-04-26,0.09
2021-04-27,0.00
2021-04-28,0.00
2021-04-29,0.03
2021-04-30,0.00
2021-05-01,0.02
2021-05-02,0.00
2021-05-03,0.00
2021-05-04,0.63
2021-05-05,0.00
2021-05-06,0.29
2021-05-07,0.00
2021-05-08,0.00
2021-05-09,0.04
2021-05-10,0.47
2021-05-11,0.00
2021-05-12,0.00
2021-05-13,0.00
2021-05-14,0.00
2021-05-15,0.00
2021-05-16,0.00
2021-05-17,0.00
2021-05-18,0.00
2021-05-19,0.00
