year	liberal_democracies	electoral_democracies	electoral_autocracies	closed_autocracies	no_regime_data
1800	0	0	22000000	805811988	156929163
1801	0	0	22309844	809728760	155589718
1802	0	0	22624318	812600666	155873754
1803	0	0	22943493	815500140	156166627
1804	0	0	23267444	818897125	155998671
1805	0	0	23596247	821852584	156309213
1806	0	0	23929977	824836486	156628604
1807	0	0	24268712	828738650	156067380
1808	0	0	24612534	831778975	156406004
1809	0	0	24961521	844464636	147137709
1810	0	0	25735756	850158239	146736202
1811	0	0	26528763	854698275	146260431
1812	0	0	27491242	859487315	146652579
1813	0	0	28634039	865618085	146191565
1814	0	0	29833433	870973493	146620366
1815	0	0	31092484	896309985	127183637
1816	0	0	32414425	901937287	127572801
1817	0	0	33802669	909326560	126317841
1818	0	0	35260822	915179892	126717838
1819	0	0	36581099	920188566	127988210
1820	0	0	37752758	925159712	130034952
1821	0	0	40020835	935074203	124236539
1822	0	0	40894941	940533946	124824896
1823	0	0	55376475	932899974	125238343
1824	0	0	43646032	946247840	130982297
1825	0	0	44379591	953151985	130811384
1826	0	0	45128383	963935697	126897108
1827	0	0	45892783	969914955	127877108
1828	0	0	46673172	975968585	128873665
1829	0	0	47455046	981555262	129888076
1830	0	0	47535918	988855635	130228306
1831	0	0	54386141	994363726	123516859
1832	0	0	59072867	994646111	124497320
1833	0	0	58305255	999876024	125493716
1834	0	0	59211186	1003476373	126507306
1835	0	0	61365871	1005872686	127538464
1836	0	0	76981832	994853239	128587515
1837	0	0	79924136	996553763	129654822
1838	0	0	79801814	1002009260	130097543
1839	0	0	81114056	1019838805	116659938
1840	0	0	62010356	1043510184	118598152
1841	0	0	61438797	1050333572	117049120
1842	0	0	69533004	1046709792	118090957
1843	0	0	70135176	1050498833	119152228
1844	0	0	70891449	1054329245	120099223
1845	0	0	71704405	1058037377	121194646
1846	0	0	64974119	1069354592	122308752
1847	0	0	72733546	1065897177	123793997
1848	0	0	115739366	1027966143	124594496
1849	2361968	0	112982153	1031540679	126510134
1850	2376868	0	113981619	1033822791	128516892
1851	2390857	0	80145209	1069983782	128524263
1852	2404184	0	81191228	1071442509	128567202
1853	2416841	0	82153427	1071540074	129295015
1854	2429565	0	83457566	1071298253	130132479
1855	2442355	0	84639361	1071279813	130982557
1856	2455213	0	87531315	1069653538	131845489
1857	2468139	0	88865876	1069688320	132721561
1858	3619471	0	79110316	1079779972	133611051
1859	3711534	0	80848059	1079771323	134543868
1860	3796042	0	83326384	1079356041	136676796
1861	3871952	0	80345262	1084731222	136542335
1862	3938125	0	82992279	1084807462	137609158
1863	3993315	0	85958515	1084882410	138722047
1864	4049793	0	86506509	1087442158	139852107
1865	4107592	0	121202796	1058796944	138115996
1866	4166751	0	116940556	1066310890	139255875
1867	4227308	0	119519433	1067049964	140413897
1868	4289302	0	139705938	1034629010	157207652
1869	4350511	0	146295205	1031839693	158554593
1870	4410839	0	188647022	993919630	161176781
1871	4470190	0	187487232	1000072516	161156009
1872	4528458	0	193413534	999843561	162405596
1873	4585535	0	191720349	1007853458	163619112
1874	4643570	38412539	141230756	1026308790	164845520
1875	4702578	38461370	145511215	1028447303	166084979
1876	4762580	38510260	148282556	1033046531	166455575
1877	4823595	38559209	146879893	1040985694	167714005
1878	4885643	38608217	152222550	1042236264	168986332
1879	4953116	38664188	151432751	1048806242	171600210
1880	5026354	38727144	158424465	1049468161	174352529
1881	5105711	38797107	161104421	1055022044	174224661
1882	5191558	38874098	168181928	1056763630	175548108
1883	5284280	38958140	167431938	1066911270	176878932
1884	5379915	39042361	172787696	1071073910	178223612
1885	5478561	39126760	167803417	1080906517	184429108
1886	5580325	39211339	176556259	1079406023	188341947
1887	5685314	39912699	172462197	1092781575	189767985
1888	5793641	40012950	175468127	1099775859	191209234
1889	5899570	40105103	178104698	1107004519	192569309
1890	6002745	40189112	179481878	1115372588	195415664
1891	6102789	40264930	182605015	1121834739	195045315
1892	6199307	40332510	190024789	1127276855	192728990
1893	6291885	40391803	188853051	1136549509	194939987
1894	6385931	40451408	209256887	1125555306	195983937
1895	12875979	40511329	204089780	1131253229	199667326
1896	13035423	40571572	190471733	1154400623	200776332
1897	13197018	40632141	195710615	1158824403	201901061
1898	13360793	40693044	218595820	1145714244	203041777
1899	6877634	40756003	225338299	1155926469	204321447
1900	13695858	40821076	222361408	1254900261	115626419
1901	13867172	40888319	228208911	1261433395	114387846
1902	16666822	40957793	230208212	1271900943	112830612
1903	16874470	41029557	234258744	1281568993	113281041
