uid,role,gender,pay_annual_USD
1,Designer,female,"$100,000 - $119,999"
2,Designer,male,"$180,000 - $199,999"
3,Scientist,male,"$100,000 - $119,999"
4,Analyst,female,"$60,000 - $79,999"
5,Leadership,male,"$120,000 - $139,999"
6,Scientist,female,"$60,000 - $79,999"
7,Developer,male,"$80,000 - $99,999"
8,Analyst,female,"$60,000 - $79,999"
9,Designer,male,"$60,000 - $79,999"
10,Scientist,female,"$80,000 - $99,999"
11,Leadership,male,"$100,000 - $119,999"
12,Analyst,female,"$80,000 - $99,999"
13,Designer,female,"$10,000 - $19,999"
14,Analyst,female,"$60,000 - $79,999"
15,Developer,male,"$140,000 - $159,999"
16,Journalist,female,"$40,000 - $59,999"
17,Analyst,female,"$100,000 - $119,999"
18,Engineer,male,"$220,000 - $239,999"
19,Leadership,male,"$200,000 - $219,999"
20,Analyst,male,"$80,000 - $99,999"
21,Engineer,male,"$160,000 - $179,999"
22,Developer,female,"$60,000 - $79,999"
23,Analyst,male,"$100,000 - $119,999"
24,Engineer,male,"$120,000 - $139,999"
25,Leadership,male,"$60,000 - $79,999"
26,Engineer,male,"$140,000 - $159,999"
27,Leadership,male,"$120,000 - $139,999"
28,Analyst,female,"$40,000 - $59,999"
29,Scientist,female,"$80,000 - $99,999"
30,Developer,female,"$120,000 - $139,999"
31,Other,female,"$80,000 - $99,999"
32,Teacher,male,"$80,000 - $99,999"
33,Developer,male,"$100,000 - $119,999"
34,Analyst,male,"$80,000 - $99,999"
35,Developer,female,"$140,000 - $159,999"
36,Designer,female,"$180,000 - $199,999"
37,Other,male,"$120,000 - $139,999"
38,Analyst,female,"$100,000 - $119,999"
39,Engineer,female,"$100,000 - $119,999"
40,Scientist,female,"$120,000 - $139,999"
41,Leadership,male,"$140,000 - $159,999"
42,Designer,male,"$40,000 - $59,999"
43,Analyst,female,"$20,000 - $39,999"
44,Journalist,female,"$60,000 - $79,999"
45,Analyst,male,"$80,000 - $99,999"
46,Analyst,female,"$80,000 - $99,999"
47,Other,male,"$160,000 - $179,999"
48,Developer,male,"$80,000 - $99,999"
49,Developer,female,"$80,000 - $99,999"
50,Leadership,female,"$200,000 - $219,999"
51,Analyst,female,"$60,000 - $79,999"
52,Leadership,male,"$180,000 - $199,999"
53,Leadership,male,"$240,000 or more"
54,Engineer,female,"$140,000 - $159,999"
55,Analyst,female,"$60,000 - $79,999"
56,Scientist,female,"$100,000 - $119,999"
57,Teacher,female,"$140,000 - $159,999"
58,Analyst,male,"$60,000 - $79,999"
59,Analyst,female,"$60,000 - $79,999"
60,Scientist,male,"$140,000 - $159,999"
61,Scientist,male,"$20,000 - $39,999"
62,Designer,female,"$120,000 - $139,999"
63,Leadership,male,"$140,000 - $159,999"
64,Leadership,male,"$80,000 - $99,999"
65,Designer,female,"$40,000 - $59,999"
66,Journalist,male,"$80,000 - $99,999"
67,Engineer,male,"$200,000 - $219,999"
68,Designer,male,"$240,000 or more"
69,Leadership,male,"$140,000 - $159,999"
70,Scientist,male,"$120,000 - $139,999"
