child,parent,total_speakers,native_speakers
Languages,,,
Indo-European,Languages,,
Sino-Tibetan,Languages,,
Afro-Asiatic,Languages,,
Austronesian,Languages,,
Japanic,Languages,,
Niger-Congo,Languages,,
Dravidian,Languages,,
Turkic,Languages,,
Koreanic,Languages,,
Kra-Dai,Languages,,
Uralic,Languages,,
Germanic,Indo-European,,
Sinitic,Sino-Tibetan,,
Indo-Aryan,Indo-European,,
Romance,Indo-European,,
Semitic,Afro-Asiatic,,
Balto-Slavic,Indo-European,,
Malayo-Polynesian,Austronesian,,
Language Isolate A,Japanic,,
Bantu,Niger-Congo,,
South-Central,Dravidian,,
Southern,Dravidian,,
Oghuz,Turkic,,
Language Isolate B,Koreanic,,
Vietic,Austronesian,,
Chadic,Afro-Asiatic,,
Zhuang–Tai,Kra-Dai,,
Iranian,Indo-European,,
Tibeto-Burman,Sino-Tibetan,,
Atlantic–Congo,Niger-Congo,,
Malayo-Sumbawan,Austronesian,,
Karluk,Turkic,,
Cushitic,Afro-Asiatic,,
Tai,Kra-Dai,,
Mande,Niger-Congo,,
Hellenic,Indo-European,,
Kipchak,Turkic,,
Ugric,Uralic,,
Language Isolate C,Austronesian,,
English,Germanic,1132366680,379007140
Mandarin Chinese,Sinitic,1116596640,917868640
Hindi,Indo-Aryan,615475540,341208640
Spanish,Romance,534335730,460093030
French,Romance,279821930,77177210
Modern Standard Arabic,Semitic,273989700,0
Bengali,Indo-Aryan,265042480,228289600
Russian,Balto-Slavic,258227760,153746530
Portuguese,Romance,234168620,220762620
Indonesian,Malayo-Polynesian,198733600,43364600
Urdu,Indo-Aryan,170208780,68622980
Standard German,Germanic,132176520,76090520
Japanese,Language Isolate A,128350830,128229330
Swahili,Bantu,98327740,16027740
Marathi,Indo-Aryan,95312800,83112800
Telugu,South-Central,93040340,82040340
Western Punjabi,Indo-Aryan,92725700,92725700
Wu Chinese,Sinitic,81501290,81437890
Tamil,Southern,80989130,75039130
Turkish,Oghuz,79779360,79399060
Korean,Language Isolate B,77264890,77264890
Vietnamese,Vietic,76950770,75950770
Yue Chinese,Sinitic,73538610,73136610
Javanese,Malayo-Polynesian,68277600,68277600
Italian,Romance,67894920,64844820
Egyptian Spoken Arabic,Semitic,64618100,64618100
Hausa,Chadic,63428100,43928100
Thai,Zhuang–Tai,60657660,20657660
Gujarati,Indo-Aryan,60588970,56408970
Kannada,Southern,56463310,43563310
Iranian Persian,Iranian,52782160,52782160
Bhojpuri,Indo-Aryan,52405300,52245300
Southern Min Chinese,Sinitic,50462190,50075190
Hakka Chinese,Sinitic,48467490,48467490
Jin Chinese,Sinitic,46900000,46900000
Filipino,Malayo-Polynesian,45000000,28000000
Burmese,Tibeto-Burman,42912350,32912350
Polish,Balto-Slavic,40378030,39713030
Yoruba,Atlantic–Congo,39844260,37844260
Odia,Indo-Aryan,38051547,34461520
Malayalam,Southern,37829870,37134870
